id,userId,guildId,rodKey,lastFishing,totalCaught,sealBlessing,sharkBattleHp,sharkBattleReward,legendaryBattleChoice,legendaryBattleExpiresAt,legendaryBattleRound,legendaryBattleUserId,activeBaitKey,dailyMissionClaimed,dailyMissionDate,dailyMissionKey,dailyMissionProgress,selectedSpotKey
"cmsqzhqav00f1ec7uv9z5osen","1522042036956561438","1502898258610225304","dourada","2026-08-13 19:18:48.957","2","f","0","0",,,"0",,,"f",,,"0","lago"
"cmsnqjfzb009cxzfu042a2dul","1527094211176828951","1514852775068962897","bambu","2026-08-16 01:59:15.521","24","f","0","0",,,"0",,,"f",,,"0","lago"
"cmskhw9nc00nflc97e30rwpc2","1510415733950255124","1502898258610225304","carbono","2026-08-19 16:03:59.374","262","f","0","0",,,"0",,,"f","2026-08-19","casts","3","recife"
"cmskn3qpu000xfdfwfv2ix8g2","1529653032810184772","1502898258610225304","bambu","2026-08-08 17:20:44.811","1","f","0","0",,,"0",,,"f",,,"0","lago"
"cmsxw7a6z003m25a2lj7n4imj","1534661961000816785","1514852775068962897","bambu","2026-08-18 05:22:32.484","39","f","0","0",,,"0",,,"f","2026-08-18","treasure","1","recife"
"cmsv5pdou019u13ttp20r0230","1536006846337261748","1514852775068962897","bambu","2026-08-16 02:00:45.427","5","f","0","0",,,"0",,,"f",,,"0","lago"
"cmt0bxzh401na81m1586q478y","1524148278277439629","1502898258610225304","bambu","2026-08-19 16:52:39.275","1","f","0","0",,,"0",,,"f","2026-08-19","treasure","0","lago"
"cmsuqhhw3009e13ttizjdidns","1528536923843465236","1502898258610225304","bambu","2026-08-15 19:51:59.397","2","f","0","0",,,"0",,,"f",,,"0","lago"
"cmstzpld603t9e9k3d6kyjn59","1500211290403242176","1502898258610225304","bambu","2026-08-17 20:40:49.36","54","f","0","0",,,"0",,,"f","2026-08-17","rare","0","lago"
"cmsy8611301brdwwg49m4pppc","1534661961000816785","1502898258610225304","bambu","2026-08-18 15:51:36.386","22","f","0","0",,,"0",,,"f","2026-08-18","ability","1","abismo"
"cmsv6cr4p001512r6ypsdexin","1028709819667980403","1502898258610225304","bambu","2026-08-16 04:47:11.807","6","f","0","0",,,"0",,,"f","2026-08-16","casts","3","lago"
"cmsqesrh9002qjfaelhqy9sr5","1531596176783052818","1502898258610225304","bambu","2026-08-12 18:14:52.721","1","f","0","0",,,"0",,,"f",,,"0","lago"
"cmsjp001d00gi70hemv46qvrr","1527094211176828951","1502898258610225304","dourada","2026-08-19 16:53:45.817","162","f","0","0",,,"0",,"brilhante","f","2026-08-19","casts","3","mar_aberto"
"cmsqziydl00fvec7u58ycx9is","1520850000006086858","1502898258610225304","fibra","2026-08-18 16:06:23.079","172","f","0","0",,,"0",,,"f","2026-08-18","treasure","0","lago"
"cmspjqnua04kxxzfueylf5glx","1496705193008435292","1502898258610225304","bambu","2026-08-18 16:21:14.036","4","f","0","0",,,"0",,,"f","2026-08-18","casts","3","lago"
"cmskvpf8d012wfdfwsv1wy502","1522568928487014451","1502898258610225304","dourada","2026-08-13 03:53:31.703","88","f","0","0",,,"0",,,"f",,,"0","lago"
