id,type,fromId,toId,guildId,count
"cmshnrvvk0004q3knrlc5vzf1","kiss","1527094211176828951","1513613689322995804",,"1"
"cmshnsh9n0005q3knnpj1cd12","bite","1527094211176828951","1522568928487014451",,"1"
"cmsu3zcbo04oqe9k3quf1clfe","push","1520850000006086858","1500211290403242176",,"1"
"cmsu3zt8o04ore9k37rf4koc0","push","1500211290403242176","1520850000006086858",,"1"
"cmsuqii2j009q13ttsexe4qxu","bite","1520850000006086858","1528536923843465236",,"1"
"cmsuqinv1009r13tterkzar35","bite","1528536923843465236","1520850000006086858",,"1"
"cmsv8lij1001xpueiaost7y4u","gf","1536006846337261748","1527094211176828951",,"3"
"cmsv8ll8c001zpuei12goglbt","gf","1527094211176828951","1536006846337261748",,"3"
"cmsv9xlvn00kjpueiqwf4q29g","kiss","1536006846337261748","1527094211176828951",,"2"
"cmsv9y5ft00kkpueie0fwjr4v","kiss","1527094211176828951","1536006846337261748",,"2"
"cmsy1izo600wjdwwgvobvtqaq","kiss","1527094211176828951","1534661961000816785",,"1"
"cmsy1j2pz00wmdwwg2y714g2i","hug","1534661961000816785","1527094211176828951",,"1"
"cmsy1j4hh00wndwwgnm0ip0gl","hug","1527094211176828951","1534661961000816785",,"1"
"cmsy1jei800wrdwwg52tkjkeg","pat","1534661961000816785","1527094211176828951",,"1"
"cmsy1jhz600wsdwwgujj30qd6","pat","1527094211176828951","1534661961000816785",,"1"
"cmsy1iuf700widwwgo7ragp79","kiss","1534661961000816785","1527094211176828951",,"2"
"cmszatqqv00wmntu6lsazweel","gf","1527094211176828951","1534661961000816785",,"4"
"cmszatjmp00wkntu6w2403zcd","gf","1534661961000816785","1527094211176828951",,"5"
"cmsqyirer008mec7uolq521hz","hug","1522568928487014451","1520850000006086858",,"1"
"cmsqyjq8p008uec7uti9sb69x","hug","1520850000006086858","1522042036956561438",,"1"
"cmshnjryb017ab6vjtocq296r","kiss","1522568928487014451","1527094211176828951",,"6"
"cmshnkon5017eb6vjv5cx76xo","hug","1522568928487014451","1527094211176828951",,"2"
"cmshnk212017bb6vjyirdpa1g","hug","1527094211176828951","1522568928487014451",,"2"
"cmshnj5rg0176b6vjwqse1x1l","kiss","1527094211176828951","1522568928487014451",,"6"
"cmsqjobn90016xuw35hf0frsi","gf","1527094211176828951","1522568928487014451",,"23"
"cmsqw1dox005mcea28jwkuund","gf","1522568928487014451","1527094211176828951",,"19"
"cmstdhc3x01rie9k3sy33kmj8","gf","1496705193008435292","1513736341425225859",,"1"
"cmstdib2x01rre9k34clzr2p7","gf","1513736341425225859","1496705193008435292",,"1"
"cmsu3wjrq04nye9k30oskff5w","hug","1520850000006086858","1500211290403242176",,"2"
"cmsu3xle904o7e9k3cjbqra5l","hug","1500211290403242176","1520850000006086858",,"2"
"cmsu3yrr704ole9k3ztbcvdue","bite","1520850000006086858","1500211290403242176",,"1"
"cmsu3yx6504ome9k3cpxvwuku","bite","1500211290403242176","1520850000006086858",,"1"
