id,userId,guildId,itemType,itemRef,purchasedAt
"cms4u6mla01f2nf5fvciwf58l","1527094211176828951",,"banner","c_gang","2026-07-28 15:54:37.918"
"cms4ucr5y01flnf5f5y84wa6p","1527094211176828951",,"pet","cms4ucbgs01ffnf5fz23t1xk8","2026-07-28 15:59:23.782"
"cms9aiv640125zayff7wswfrx","1527094211176828951",,"banner","c_dove","2026-07-31 18:43:07.469"
"cmsc7zrfw02009i57at2cwrbr","1527154150540841000",,"banner","c_tyler","2026-08-02 19:55:35.469"
"cmsc89vve000f14h9u570l745","1522568928487014451",,"banner","c_dove","2026-08-02 20:03:27.771"
"cmss7oerf020xcmsuhzq58110","1400148037053190175","1502898258610225304","banner","c_dove","2026-08-14 00:31:04.636"
"cmsy9cv7t01k6dwwg2lo3pvtf","1534661961000816785",,"banner","c_pochaco_love","2026-08-18 06:04:42.377"
"cmsyxpcp9002pntu63kggovm1","1527094211176828951",,"banner","c_autismo_3","2026-08-18 17:26:15.694"
"cmsyy8lmo0069ntu6c41enhki","1527094211176828951",,"pet","cmsyxsq8s002untu6wa3xd034","2026-08-18 17:41:13.729"
"cmsyye14l007sntu6wedz6kcg","1534661961000816785",,"pet","cmsyvtafh0002oqkoolykev0l","2026-08-18 17:45:27.094"
"cmsz5f6n200n9ntu6ilsreeap","1510415733950255124",,"pet","cms4ucbgs01ffnf5fz23t1xk8","2026-08-18 21:02:18.207"
"cmsz5p2rs00nyntu6ogo9kabd","1510415733950255124",,"banner","c_pochaco_love","2026-08-18 21:09:59.752"
"cmszdg1w301mbntu68mulwiyl","1496705193008435292",,"role","1530722747729187027","2026-08-19 00:46:55.636"
"cmszdgexf01mpntu6sf2qscla","1496705193008435292",,"pet","cmsyxvft1002xntu6xof9o59w","2026-08-19 00:47:12.531"
"cmt0a9hm901js81m17xfa2r4p","1510415733950255124",,"pet","cmsyxuekt002wntu6mcrngasn","2026-08-19 16:05:36.754"
